"Date","Price","Open","High","Low","Vol.","Change %"
"01/22/2024","0.00006389","0.00006403","0.00006412","0.00006374","","-0.22%"
"01/21/2024","0.00006403","0.00006403","0.00006403","0.00006403","","0.00%"
"01/19/2024","0.00006403","0.00006402","0.00006415","0.00006393","","0.02%"
"01/18/2024","0.00006402","0.00006395","0.00006412","0.00006391","","0.11%"
"01/17/2024","0.00006395","0.00006396","0.00006414","0.00006387","","-0.01%"
"01/16/2024","0.00006395","0.00006426","0.00006429","0.00006391","","-0.48%"
"01/15/2024","0.00006426","0.00006436","0.00006436","0.00006423","","-0.15%"
"01/14/2024","0.00006436","0.00006436","0.00006436","0.00006436","","0.05%"
"01/12/2024","0.00006433","0.00006426","0.00006447","0.00006416","","0.08%"
"01/11/2024","0.00006427","0.00006426","0.00006444","0.00006403","","0.02%"
"01/10/2024","0.00006426","0.00006434","0.00006437","0.00006415","","-0.12%"
"01/09/2024","0.00006434","0.00006449","0.00006458","0.00006427","","-0.23%"
"01/08/2024","0.00006449","0.00006450","0.00006459","0.00006430","","-0.03%"
"01/07/2024","0.00006450","0.00006450","0.00006450","0.00006450","","0.08%"
"01/05/2024","0.00006445","0.00006444","0.00006558","0.00006422","","0.02%"
"01/04/2024","0.00006444","0.00006426","0.00006457","0.00006413","","0.29%"
"01/03/2024","0.00006426","0.00006450","0.00006466","0.00006421","","-0.37%"
"01/02/2024","0.00006450","0.00006498","0.00006498","0.00006428","","-0.74%"
"01/01/2024","0.00006498","0.00006498","0.00006498","0.00006498","","0.00%"
"12/31/2023","0.00006498","0.00006498","0.00006498","0.00006498","","0.00%"
"12/29/2023","0.00006497","0.00006444","0.00006500","0.00006427","","0.84%"
"12/28/2023","0.00006444","0.00006502","0.00006502","0.00006441","","-0.90%"
"12/27/2023","0.00006502","0.00006491","0.00006504","0.00006475","","0.18%"
"12/26/2023","0.00006491","0.00006465","0.00006492","0.00006465","","0.39%"
"12/25/2023","0.00006465","0.00006463","0.00006465","0.00006463","","0.04%"
"12/24/2023","0.00006463","0.00006463","0.00006463","0.00006463","","0.00%"
"12/22/2023","0.00006463","0.00006474","0.00006484","0.00006442","","-0.18%"
"12/21/2023","0.00006474","0.00006408","0.00006487","0.00006408","","1.04%"
"12/20/2023","0.00006408","0.00006467","0.00006468","0.00006408","","-0.92%"
"12/19/2023","0.00006467","0.00006472","0.00006472","0.00006436","","-0.06%"
"12/18/2023","0.00006472","0.00006441","0.00006473","0.00006419","","0.47%"
"12/17/2023","0.00006441","0.00006441","0.00006441","0.00006441","","0.00%"
"12/15/2023","0.00006441","0.00006462","0.00006468","0.00006402","","-0.32%"
"12/14/2023","0.00006462","0.00006511","0.00006511","0.00006438","","-0.75%"
"12/13/2023","0.00006511","0.00006420","0.00006512","0.00006376","","1.42%"
"12/12/2023","0.00006420","0.00006388","0.00006433","0.00006387","","0.49%"
"12/11/2023","0.00006388","0.00006421","0.00006447","0.00006368","","-0.51%"
"12/10/2023","0.00006421","0.00006421","0.00006421","0.00006421","","0.00%"
"12/08/2023","0.00006421","0.00006448","0.00006462","0.00006420","","-0.43%"
"12/07/2023","0.00006448","0.00006446","0.00006456","0.00006425","","0.04%"
"12/06/2023","0.00006446","0.00006467","0.00006467","0.00006436","","-0.32%"
"12/05/2023","0.00006467","0.00006458","0.00006470","0.00006444","","0.12%"
"12/04/2023","0.00006459","0.00006458","0.00006483","0.00006446","","0.02%"
"12/03/2023","0.00006458","0.00006458","0.00006458","0.00006458","","-0.49%"
"12/01/2023","0.00006489","0.00006427","0.00006491","0.00006427","","0.97%"
"11/30/2023","0.00006427","0.00006469","0.00006500","0.00006200","","-0.64%"
"11/29/2023","0.00006469","0.00006515","0.00006607","0.00006466","","-0.71%"
"11/28/2023","0.00006515","0.00006450","0.00007000","0.00006450","","1.02%"
"11/27/2023","0.00006450","0.00006435","0.00006635","0.00006425","","0.22%"
"11/26/2023","0.00006435","0.00006435","0.00006435","0.00006435","","-0.05%"
"11/24/2023","0.00006438","0.00006397","0.00006503","0.00006396","","0.65%"
"11/23/2023","0.00006397","0.00006387","0.00006460","0.00006005","","0.15%"
"11/22/2023","0.00006387","0.00006445","0.00006447","0.00006387","","-0.90%"
"11/21/2023","0.00006445","0.00006529","0.00006529","0.00006436","","-1.28%"
"11/20/2023","0.00006529","0.00006482","0.00006529","0.00006450","","0.72%"
"11/19/2023","0.00006482","0.00006482","0.00006482","0.00006482","","-0.03%"
"11/17/2023","0.00006484","0.00006458","0.00006512","0.00006436","","0.39%"
"11/16/2023","0.00006458","0.00006444","0.00006459","0.00006401","","0.23%"
"11/15/2023","0.00006444","0.00006472","0.00006474","0.00006430","","-0.39%"
"11/14/2023","0.00006469","0.00006376","0.00006482","0.00006363","","1.45%"
"11/13/2023","0.00006376","0.00006373","0.00006380","0.00006361","","0.05%"
"11/12/2023","0.00006373","0.00006373","0.00006373","0.00006373","","0.00%"
