"Date","Price","Open","High","Low","Vol.","Change %"
"01/17/2024","0.2120","0.2152","0.2152","0.2118","","-0.51%"
"01/16/2024","0.2130","0.2140","0.2141","0.2131","","-0.47%"
"01/15/2024","0.2140","0.2149","0.2152","0.2141","","-0.47%"
"01/12/2024","0.2150","0.2153","0.2154","0.2151","","-0.05%"
"01/11/2024","0.2151","0.2153","0.2156","0.2152","","-0.08%"
"01/10/2024","0.2153","0.2151","0.2155","0.2147","","0.00%"
"01/09/2024","0.2153","0.2153","0.2156","0.2148","","0.17%"
"01/08/2024","0.2149","0.2151","0.2154","0.2149","","0.07%"
"01/05/2024","0.2148","0.2155","0.2155","0.2148","","-0.43%"
"01/04/2024","0.2157","0.2157","0.2158","0.2154","","-0.05%"
"01/03/2024","0.2158","0.2165","0.2165","0.2154","","-0.63%"
"01/02/2024","0.2172","0.2179","0.2180","0.2171","","-0.22%"
"01/01/2024","0.2176","0.2176","0.2176","0.2176","","0.11%"
"12/29/2023","0.2174","0.2168","0.2185","0.2167","","0.22%"
"12/28/2023","0.2169","0.2163","0.2170","0.2163","","0.45%"
"12/27/2023","0.2159","0.2160","0.2162","0.2156","","0.28%"
"12/26/2023","0.2153","0.2162","0.2168","0.2156","","-0.26%"
"12/25/2023","0.2159","0.2148","0.2159","0.2148","","0.06%"
"12/22/2023","0.2157","0.2151","0.2165","0.2151","","0.50%"
"12/21/2023","0.2147","0.2142","0.2151","0.2141","","0.04%"
"12/20/2023","0.2146","0.2141","0.2152","0.2137","","0.52%"
"12/19/2023","0.2135","0.2130","0.2140","0.2128","","0.25%"
"12/18/2023","0.2130","0.2142","0.2143","0.2129","","-0.49%"
"12/15/2023","0.2140","0.2146","0.2146","0.2140","","0.05%"
"12/14/2023","0.2139","0.2127","0.2148","0.2127","","0.71%"
"12/13/2023","0.2124","0.2135","0.2135","0.2124","","-0.45%"
"12/12/2023","0.2134","0.2135","0.2138","0.2134","","-0.04%"
"12/11/2023","0.2134","0.2142","0.2142","0.2135","","-0.38%"
"12/08/2023","0.2143","0.2140","0.2148","0.2140","","0.19%"
"12/07/2023","0.2139","0.2138","0.2148","0.2137","","-0.11%"
"12/06/2023","0.2141","0.2139","0.2142","0.2138","","-0.11%"
"12/05/2023","0.2143","0.2146","0.2146","0.2141","","-0.13%"
"12/04/2023","0.2146","0.2142","0.2151","0.2142","","0.34%"
"12/01/2023","0.2139","0.2141","0.2144","0.2134","","-0.30%"
"11/30/2023","0.2145","0.2148","0.2149","0.2144","","-0.15%"
"11/29/2023","0.2148","0.2144","0.2156","0.2143","","0.38%"
"11/28/2023","0.2140","0.2139","0.2142","0.2139","","0.22%"
"11/27/2023","0.2135","0.2137","0.2139","0.2134","","0.07%"
"11/24/2023","0.2134","0.2134","0.2137","0.2133","","-0.07%"
"11/23/2023","0.2135","0.2134","0.2138","0.2129","","-0.04%"
"11/22/2023","0.2136","0.2146","0.2146","0.2136","","-0.54%"
"11/21/2023","0.2148","0.2144","0.2153","0.2144","","0.30%"
"11/20/2023","0.2141","0.2140","0.2145","0.2136","","0.26%"
"11/17/2023","0.2136","0.2134","0.2138","0.2132","","0.21%"
"11/16/2023","0.2131","0.2138","0.2138","0.2120","","-0.36%"
"11/15/2023","0.2139","0.2122","0.2148","0.2122","","1.01%"
"11/14/2023","0.2118","0.2124","0.2126","0.2117","","-0.30%"
"11/13/2023","0.2124","0.2131","0.2131","0.2124","","0.04%"
"11/10/2023","0.2123","0.2125","0.2126","0.2116","","-0.32%"
"11/09/2023","0.2130","0.2133","0.2140","0.2131","","-0.17%"
"11/08/2023","0.2134","0.2143","0.2147","0.2132","","-0.25%"
"11/07/2023","0.2139","0.2153","0.2153","0.2137","","-0.75%"
"11/06/2023","0.2155","0.2119","0.2160","0.2119","","2.01%"
"11/03/2023","0.2113","0.2104","0.2115","0.2104","","0.42%"
"11/02/2023","0.2104","0.2101","0.2106","0.2101","","0.42%"
"11/01/2023","0.2095","0.2094","0.2099","0.2093","","-0.13%"
"10/31/2023","0.2098","0.2101","0.2104","0.2097","","-0.04%"
"10/30/2023","0.2099","0.2093","0.2105","0.2092","","0.33%"
"10/27/2023","0.2092","0.2090","0.2095","0.2090","","0.14%"
"10/26/2023","0.2089","0.2088","0.2089","0.2087","","-0.10%"
"10/25/2023","0.2091","0.2088","0.2097","0.2087","","0.08%"
"10/24/2023","0.2089","0.2093","0.2093","0.2089","","0.19%"
"10/23/2023","0.2085","0.2094","0.2095","0.2086","","-0.54%"
"10/20/2023","0.2096","0.2095","0.2100","0.2091","","-0.04%"
"10/19/2023","0.2097","0.2101","0.2101","0.2097","","-0.44%"
"10/18/2023","0.2107","0.2111","0.2111","0.2106","","-0.19%"
"10/17/2023","0.2111","0.2115","0.2115","0.2111","","0.00%"
"10/16/2023","0.2111","0.2113","0.2115","0.2109","","-0.13%"
"10/13/2023","0.2113","0.2114","0.2116","0.2111","","-0.36%"
"10/12/2023","0.2121","0.2120","0.2123","0.2114","","0.13%"
"10/11/2023","0.2118","0.2115","0.2119","0.2114","","0.26%"
"10/10/2023","0.2113","0.2118","0.2118","0.2111","","0.04%"
