Date,Value
2020-01-01,286.909
2020-02-01,331.808
2020-03-01,352.313
2020-04-01,412.597
2020-05-01,401.088
2020-06-01,465.712
2020-07-01,449.347
2020-08-01,459.679
2020-09-01,466.05
2020-10-01,418.121
2020-11-01,350.144
2020-12-01,310.213
2021-01-01,277.001
2021-02-01,272.303
2021-03-01,359.172
2021-04-01,384.009
2021-05-01,383.423
2021-06-01,374.248
2021-07-01,369.044
2021-08-01,428.254
2021-09-01,418.328
2021-10-01,412.882
2021-11-01,388.562
2021-12-01,350.493
2022-01-01,309.157
2022-02-01,283.05
2022-03-01,359.162
2022-04-01,367.163
2022-05-01,354.914
2022-06-01,378.414
2022-07-01,383.667
2022-08-01,424.233
2022-09-01,436.189
2022-10-01,448.13
2022-11-01,407.617
2022-12-01,399.453
2023-01-01,340.369
2023-02-01,316.781
2023-03-01,323.743
2023-04-01,293.454
2023-05-01,367.71
2023-06-01,350.516
2023-07-01,386.841
2023-08-01,420.216
2023-09-01,446.094
2023-10-01,469.404
2023-11-01,431.641
2023-12-01,371.202
